,Avg_Connected_UEs,HO Failures,PRB Util%,HQ_EXE_TOTARGET_FAILURE_QCI_1,DL Packet Loss Pct,Bearer Drop Voice%,Bearer Drops,RRC Setup Failures,Bearer Setup Failure Voice%,HO_fail_InterFreq,Combined RACH Failure%,Avg CQI,QCI 1 Bearer Drop%,ERAB Setup Fail%,HO Failure%,TIMESTAMP,Bearer Drop%
125,30.93,0,8.56,0,0,0,0,1,0,0,0.07,10.18,0,0,0,1.69E+12,0
126,37.49,0,21.69,0,0.02,0,2,1,0,0,0.09,9.46,0,0,0,1.69E+12,0.02
127,54.51,0,40.11,0,0.97,0,3,0,0,0,0.02,8.54,0,0,0,1.69E+12,0.02
128,57.46,0,37.86,0.01,2.31,0,1,18,0,1,0.09,8.5,0,0.01,0,1.69E+12,0.01
129,56.75,0,36.1,0.01,0.01,0,0,12,0,0,0.1,9.03,0,0.01,0,1.69E+12,0
130,56.46,0,41.16,0,0.01,0,0,2,0,0,0.15,8.66,0,0,0,1.69E+12,0
131,59.54,0,47.92,0,1.38,0,0,3,0,0,0.09,8.78,0,0,0,1.69E+12,0
132,63.32,0,56.94,0.02,0,0,0,1,0,0,0.03,7.55,0,0.02,0,1.69E+12,0
133,60.01,0,50.99,0.04,0,0,0,10,0,0,0.13,7.72,0,0.04,0,1.69E+12,0
134,56.31,0,50.13,0.04,2.13,0,0,10,0,0,0.05,8.07,0,0.04,0,1.69E+12,0
135,61.57,0,45.66,0,0,0,1,2,0,0,0.05,8.4,0,0,0,1.69E+12,0.01
136,65.42,0,56.79,0.01,0,0,0,5,0,0,0.1,8.31,0,0.01,0,1.69E+12,0
137,66.85,0,49.9,0,0,0,1,1,0,0,0.07,8.59,0,0,0,1.69E+12,0.01
138,71.73,0,61.22,0,0,0,1,1,0,0,0.02,8.33,0,0,0,1.69E+12,0.01
139,63.45,0,49.21,0,0.01,0,0,1,0,0,0.17,8.18,0,0,0,1.69E+12,0
140,52.58,0,33.5,0.02,0,0,0,0,0,0,0.06,8.61,0,0.02,0,1.69E+12,0
141,45.37,0,35.72,0,0,0,0,2,0,0,0.1,8.93,0,0,0,1.69E+12,0
142,40.09,0,32.02,0,0,0,0,0,0,0,0.07,8.98,0,0,0,1.69E+12,0
143,34.46,0,12.83,0,0,0,0,0,0,0,0.04,10.21,0,0,0,1.69E+12,0
144,33.15,0,10.47,0,0,0,0,0,0,0,0,10.3,0,0,0,1.69E+12,0
145,30.33,0,10.65,0,0,0,0,0,0,0,0.05,11,0,0,0,1.69E+12,0
146,30.02,0,8.83,0,0,0.027643312,0,0,0,0,0.04,10.94,0.027643312,0,0,1.69E+12,0
147,27.77,0,9.81,0,0,0,0,0,0,0,0.09,10.57,0,0,0,1.69E+12,0
148,28.63,0,14.61,0,0,0,0,1,0,0,0.04,9.93,0,0,0,1.69E+12,0
149,30.23,0,17.41,0.02,0,0,0,1,0,0,0.08,9.43,0,0.02,0,1.69E+12,0
150,41.85,0,22.72,0.02,0,0,1,5,0,0,0.07,9.22,0,0.02,0,1.69E+12,0.01
151,62.72,0,63.59,0.01,0,0,2,12,0,0,0.25,7.92,0,0.01,0,1.69E+12,0.01
152,54.13,0,44.5,0.04,0,0,0,3,0,0,0.05,8.58,0,0.04,0,1.69E+12,0
153,53.8,0,31.04,0,0,0,0,6,0,0,0.05,9,0,0,0,1.69E+12,0
154,55.16,0,29.8,0,0,0,0,0,0,0,0.08,8.84,0,0,0,1.69E+12,0
155,58.79,0,42.95,0.01,0.01,0,0,3,0,0,0.07,8.7,0,0.01,0,1.69E+12,0
156,58.88,0,56.5,0.01,0.01,0,1,0,0,0,0,7.53,0,0.01,0,1.69E+12,0.01
157,63.13,0,49.07,0,0,0,0,9,0,0,0.2,8.01,0,0,0,1.69E+12,0
158,84.57,0,75.42,0,1.24,0,2,14,0,0,0.17,7.67,0,0,0,1.69E+12,0.01
159,73.96,0,62.98,0.01,0,0,0,11,0,0,0.18,7.54,0,0.01,0,1.69E+12,0
160,69.03,0,67.8,0.02,0,0,1,4,0,0,0.05,7.64,0,0.02,0,1.69E+12,0.01
161,71.34,0,63.8,0,0.01,0,2,6,0,0,0.09,8.47,0,0,0,1.69E+12,0.01
162,66.72,0,54.72,0.02,0,0,1,1,0,0,0.09,8.74,0,0.02,0,1.69E+12,0.01
163,61.44,0,52.07,0,0,0,0,1,0,0,0,8.16,0,0,0,1.69E+12,0
164,54.47,0,43.02,0,0,0,0,3,0,0,0.08,9.11,0,0,0,1.69E+12,0
165,42.72,0,27.98,0,0,0,0,0,0,0,0.06,9.05,0,0,0,1.69E+12,0
166,34.28,0,14.83,0,0,0,1,1,0,0,0,10.2,0,0,0,1.69E+12,0.01
167,42.75065868,0.011976048,32.29269461,0.007125749,0.13754491,0.027643312,0.419161677,2.22754491,0,0.053892216,0.05239521,9.04742515,0.027643312,0.006646707,0.002754491,1.69E+12,0.003652695
